conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,lstm_layers,lstm_units,bidirectional,accuracy,precision,recall,f1
3,32,5,0.3,64,2,2,64,True,0.7314814814814815,0.688,0.819047619047619,0.7478260869565218
3,32,5,0.3,64,2,2,64,False,0.7523148148148148,0.7191489361702128,0.8047619047619048,0.7595505617977528
3,32,5,0.3,64,2,1,64,True,0.7453703703703703,0.7336448598130841,0.7476190476190476,0.7405660377358491
3,32,5,0.3,64,2,1,64,False,0.6898148148148148,0.69,0.6571428571428571,0.6731707317073171
3,32,5,0.3,64,2,2,128,True,0.8078703703703703,0.7822222222222223,0.8380952380952381,0.8091954022988506
3,32,5,0.3,64,2,2,128,False,0.6736111111111112,0.6994219653179191,0.5761904761904761,0.6318537859007833
3,32,5,0.3,64,2,1,128,True,0.7268518518518519,0.6965811965811965,0.7761904761904762,0.7342342342342343
3,32,5,0.3,64,2,1,128,False,0.7777777777777778,0.7821782178217822,0.7523809523809524,0.7669902912621359
3,32,5,0.3,64,2,2,256,True,0.7615740740740741,0.7923497267759563,0.6904761904761905,0.7379134860050891
3,32,5,0.3,64,2,2,256,False,0.6597222222222222,0.6684491978609626,0.5952380952380952,0.6297229219143576
3,32,5,0.3,64,2,1,256,True,0.7638888888888888,0.7432432432432432,0.7857142857142857,0.7638888888888888
3,32,5,0.3,64,2,1,256,False,0.6643518518518519,0.7338129496402878,0.4857142857142857,0.5845272206303725
3,64,3,0.1,64,2,2,128,True,0.7407407407407407,0.7355769230769231,0.7285714285714285,0.7320574162679426
3,64,3,0.1,64,3,2,128,True,0.6620370370370371,0.7622950819672131,0.44285714285714284,0.5602409638554217
3,64,3,0.3,64,2,2,128,True,0.7569444444444444,0.7091633466135459,0.8476190476190476,0.7722342733188721
3,64,3,0.3,64,3,2,128,True,0.6643518518518519,0.6116838487972509,0.8476190476190476,0.7105788423153693
3,64,3,0.5,64,2,2,128,True,0.6643518518518519,0.6058631921824105,0.8857142857142857,0.7195357833655706
3,64,3,0.5,64,3,2,128,True,0.5185185185185185,0.5024271844660194,0.9857142857142858,0.6655948553054662
3,64,5,0.1,64,2,2,128,True,0.7731481481481481,0.78,0.7428571428571429,0.7609756097560976
3,64,5,0.1,64,3,2,128,True,0.6111111111111112,0.6810344827586207,0.3761904761904762,0.48466257668711654
3,64,5,0.3,64,2,2,128,True,0.6620370370370371,0.6927710843373494,0.5476190476190477,0.6117021276595744
3,64,5,0.3,64,3,2,128,True,0.6805555555555556,0.6894736842105263,0.6238095238095238,0.655
3,64,5,0.5,64,2,2,128,True,0.4861111111111111,0.4861111111111111,1.0,0.6542056074766355
3,64,5,0.5,64,3,2,128,True,0.6041666666666666,0.5565217391304348,0.9142857142857143,0.6918918918918919
3,64,7,0.1,64,2,2,128,True,0.8240740740740741,0.7723577235772358,0.9047619047619048,0.8333333333333334
3,64,7,0.1,64,3,2,128,True,0.7430555555555556,0.803680981595092,0.6238095238095238,0.7024128686327078
3,64,7,0.3,64,2,2,128,True,0.7847222222222222,0.8,0.7428571428571429,0.7703703703703704
3,64,7,0.3,64,3,2,128,True,0.6782407407407407,0.7261146496815286,0.5428571428571428,0.6212534059945504
3,64,7,0.5,64,2,2,128,True,0.4861111111111111,0.4861111111111111,1.0,0.6542056074766355
3,64,7,0.5,64,3,2,128,True,0.6435185185185185,0.5833333333333334,0.9333333333333333,0.717948717948718
